Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartmanage[++],99,0,6800.0,6778.274613363796,6079.828514004475,7807.57784099842,21.0,1.1103429007175063,0.0,6800,7000,7000,7100,7300,7400,7700,7800,7800,7800,7800
POST,/cartmanage[--],85,0,6800.0,6876.833891999217,6220.33406799892,7991.32095000823,21.0,0.9533247127372529,0.0,6800,7100,7200,7300,7400,7500,7800,8000,8000,8000,8000
POST,/load,172,0,6800.0,6796.135595011567,6023.652075993596,7713.066452997737,1383.3372093023256,1.9290805951859706,0.0,6800,6900,7000,7100,7200,7400,7600,7700,7700,7700,7700
POST,/load[type 1],100,0,6700.0,6353.509734419786,2450.9320889919763,7461.654537008144,999.0,1.1215584855732388,0.0,6700,6800,7000,7000,7200,7300,7400,7500,7500,7500,7500
POST,/load[type 2],100,0,6800.0,6823.385290119622,1614.9859739962267,7555.192297993926,1517.0,1.1215584855732388,0.0,6800,7000,7100,7100,7300,7400,7500,7600,7600,7600,7600
POST,/load[type 3],100,0,6800.0,6755.610061820189,5304.879026996787,7537.567870997009,1589.0,1.1215584855732388,0.0,6800,6900,7000,7000,7200,7300,7400,7500,7500,7500,7500
POST,/login,100,0,5,6.764653829159215,3.2255029946099967,27.538363996427506,21.0,1.1215584855732388,0.0,5,6,7,8,10,19,24,28,28,28,28
POST,/order,58,0,6800.0,6860.086718913627,5981.495840998832,7592.884837999009,21.0,0.6505039216324785,0.0,6800,7000,7200,7200,7400,7500,7600,7600,7600,7600,7600
POST,/register,100,0,5300.0,5131.015798450098,60.30157300119754,7581.710338999983,21.0,1.1215584855732388,0.0,5300,6100,6500,6700,7000,7100,7200,7600,7600,7600,7600
POST,/update[cart add],112,0,6900.0,6858.638037472701,6036.221949005267,7781.396969003254,21.0,1.2561455038420273,0.0,6900,7000,7200,7200,7400,7600,7600,7600,7800,7800,7800
POST,/update[wishlist add],116,0,6900.0,6847.553737637695,5976.433848991292,7785.465067005134,21.0,1.301007843264957,0.0,6900,7000,7100,7100,7300,7600,7700,7800,7800,7800,7800
POST,/update[wishlist remove],101,0,6800.0,6863.906175791865,6110.6893260002835,7936.355181998806,21.0,1.132774070428971,0.0,6800,7000,7200,7200,7400,7700,7800,7800,7900,7900,7900
,Aggregated,1243,0,6700.0,6102.306670123657,3.2255029946099967,7991.32095000823,534.6942880128721,13.940971975675357,0.0,6700,6900,7000,7100,7300,7400,7600,7700,7900,8000,8000
